# START:9/30/2024 10:29:40 AM APP:tmon VERSION:0.91 FILE:tmon_rn-24.csv
# Ctrl Rate(secs):6
# PLC OC_VER=40002014 (0x26261de) OC_VER(?)
Time,Temp,Setpt,Pwr
10:46:46,27.60,25.00,0.00
10:46:52,27.60,25.00,0.00
10:46:58,27.60,25.00,0.00
10:47:04,27.60,25.00,0.00
10:47:10,27.60,25.00,0.00
10:47:16,27.60,25.00,0.00
10:47:22,27.60,25.00,0.00
10:47:28,27.70,25.00,0.00
10:47:34,27.60,25.00,0.00
10:47:40,27.60,25.00,0.00
10:47:46,27.60,25.00,0.00
10:47:52,27.60,25.00,0.00
10:47:58,27.60,25.00,0.00
10:48:04,27.60,25.00,0.00
10:48:10,27.60,25.00,0.00
10:48:16,27.60,25.00,0.00
10:48:22,27.60,25.00,0.00
10:48:28,27.60,25.00,0.00
10:48:34,27.70,25.00,0.00
10:48:40,27.60,25.00,0.00
10:48:46,27.60,25.00,0.00
10:48:52,27.60,25.00,0.00
10:48:58,27.60,25.00,0.00
10:49:04,27.60,25.00,0.00
10:49:10,27.60,25.00,0.00
10:49:16,27.60,25.00,0.00
10:49:22,27.70,25.00,0.00
10:49:28,27.60,25.00,0.00
10:49:34,27.60,25.00,0.00
10:49:40,27.60,25.00,0.00
10:49:46,27.70,25.00,0.00
10:49:52,27.70,25.00,0.00
10:49:58,27.70,25.00,0.00
10:50:04,27.60,25.00,0.00
10:50:10,27.60,25.00,0.00
10:50:16,27.70,25.00,0.00
10:50:22,27.60,25.00,0.00
10:50:28,27.70,25.00,0.00
10:50:34,27.70,25.00,0.00
10:50:40,27.60,25.00,0.00
10:50:46,27.70,25.00,0.00
10:50:52,27.70,25.00,0.00
10:50:58,27.60,25.00,0.00
10:51:04,27.70,25.00,0.00
10:51:10,27.70,25.00,0.00
10:51:16,27.70,25.00,0.00
10:51:22,27.60,25.00,0.00
10:51:28,27.60,25.00,0.00
10:51:34,27.60,25.00,0.00
10:51:40,27.70,25.00,0.00
10:51:46,27.60,25.00,0.00
10:51:52,27.60,25.00,0.00
10:51:58,27.60,25.00,0.00
10:52:04,27.60,25.00,0.00
10:52:10,27.60,25.00,0.00
10:52:16,27.60,25.00,0.00
10:52:22,27.60,25.00,0.00
10:52:28,27.60,25.00,0.00
10:52:34,27.70,25.00,0.00
10:52:40,27.60,25.00,0.00
10:52:46,27.60,25.00,0.00
10:52:52,27.70,25.00,0.00
10:52:58,27.50,25.00,0.00
10:53:04,27.60,25.00,0.00
10:53:10,27.50,25.00,0.00
10:53:16,27.60,25.00,0.00
10:53:22,27.60,25.00,0.00
10:53:28,27.60,25.00,0.00
10:53:34,27.60,25.00,0.00
10:53:40,27.60,25.00,0.00
10:53:46,27.60,25.00,0.00
10:53:52,27.60,25.00,0.00
10:53:58,27.60,25.00,0.00
10:54:04,27.60,25.00,0.00
10:54:10,27.60,25.00,0.00
10:54:16,27.60,25.00,0.00
10:54:22,27.60,25.00,0.00
10:54:28,27.60,25.00,0.00
10:54:34,27.70,25.00,0.00
10:54:40,27.60,25.00,0.00
10:54:46,27.60,25.00,0.00
10:54:52,27.60,25.00,0.00
10:54:58,27.60,25.00,0.00
10:55:04,27.60,25.00,0.00
10:55:10,27.50,25.00,0.00
10:55:16,27.70,25.00,0.00
10:55:22,27.60,25.00,0.00
10:55:28,27.60,25.00,0.00
10:55:34,27.60,25.00,0.00
10:55:40,27.60,25.00,0.00
10:55:46,27.60,25.00,0.00
10:55:52,27.50,25.00,0.00
10:55:58,27.60,25.00,0.00
10:56:04,27.80,25.00,0.00
10:56:10,27.60,25.00,0.00
10:56:16,27.70,25.00,0.00
10:56:22,27.50,25.00,0.00
10:56:28,27.50,25.00,0.00
10:56:34,27.60,25.00,0.00
10:56:40,27.60,25.00,0.00
10:56:46,27.60,25.00,0.00
10:56:52,27.60,25.00,0.00
